Date;Objet;Équipement;Commande;Type Générique;Valeur;Unité
2026-04-02 00:00:14;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 00:01:13;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 00:03:13;Marstek;Marstek Venus E V3;AC Power;;52;W
2026-04-02 00:04:13;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 00:05:13;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 00:07:13;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 00:08:13;Marstek;Marstek Venus E V3;AC Power;;44;W
2026-04-02 00:09:13;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 00:10:13;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 00:11:13;Marstek;Marstek Venus E V3;AC Power;;44;W
2026-04-02 00:12:13;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 00:14:13;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 00:15:13;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 00:16:13;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 00:17:13;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 00:18:13;Marstek;Marstek Venus E V3;AC Power;;47;W
2026-04-02 00:19:13;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 00:20:12;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 00:21:12;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 00:23:12;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 00:25:12;Marstek;Marstek Venus E V3;AC Power;;127;W
2026-04-02 00:26:12;Marstek;Marstek Venus E V3;AC Power;;115;W
2026-04-02 00:27:12;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 00:28:12;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 00:29:12;Marstek;Marstek Venus E V3;AC Power;;106;W
2026-04-02 00:30:12;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 00:31:12;Marstek;Marstek Venus E V3;AC Power;;109;W
2026-04-02 00:32:12;Marstek;Marstek Venus E V3;AC Power;;122;W
2026-04-02 00:33:12;Marstek;Marstek Venus E V3;AC Power;;108;W
2026-04-02 00:34:12;Marstek;Marstek Venus E V3;AC Power;;110;W
2026-04-02 00:35:12;Marstek;Marstek Venus E V3;AC Power;;106;W
2026-04-02 00:36:12;Marstek;Marstek Venus E V3;AC Power;;104;W
2026-04-02 00:37:12;Marstek;Marstek Venus E V3;AC Power;;119;W
2026-04-02 00:38:12;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 00:39:12;Marstek;Marstek Venus E V3;AC Power;;104;W
2026-04-02 00:40:11;Marstek;Marstek Venus E V3;AC Power;;108;W
2026-04-02 00:41:11;Marstek;Marstek Venus E V3;AC Power;;106;W
2026-04-02 00:42:11;Marstek;Marstek Venus E V3;AC Power;;110;W
2026-04-02 00:43:11;Marstek;Marstek Venus E V3;AC Power;;118;W
2026-04-02 00:44:11;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 00:46:11;Marstek;Marstek Venus E V3;AC Power;;38;W
2026-04-02 00:47:11;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 00:51:11;Marstek;Marstek Venus E V3;AC Power;;118;W
2026-04-02 00:52:11;Marstek;Marstek Venus E V3;AC Power;;113;W
2026-04-02 00:53:11;Marstek;Marstek Venus E V3;AC Power;;108;W
2026-04-02 00:54:11;Marstek;Marstek Venus E V3;AC Power;;111;W
2026-04-02 00:55:11;Marstek;Marstek Venus E V3;AC Power;;114;W
2026-04-02 00:56:11;Marstek;Marstek Venus E V3;AC Power;;110;W
2026-04-02 00:57:11;Marstek;Marstek Venus E V3;AC Power;;109;W
2026-04-02 00:58:11;Marstek;Marstek Venus E V3;AC Power;;105;W
2026-04-02 00:59:11;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 01:00:11;Marstek;Marstek Venus E V3;AC Power;;100;W
2026-04-02 01:01:10;Marstek;Marstek Venus E V3;AC Power;;101;W
2026-04-02 01:02:11;Marstek;Marstek Venus E V3;AC Power;;104;W
2026-04-02 01:04:11;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 01:05:10;Marstek;Marstek Venus E V3;AC Power;;104;W
2026-04-02 01:07:10;Marstek;Marstek Venus E V3;AC Power;;106;W
2026-04-02 01:09:10;Marstek;Marstek Venus E V3;AC Power;;102;W
2026-04-02 01:10:10;Marstek;Marstek Venus E V3;AC Power;;95;W
2026-04-02 01:11:10;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 01:12:10;Marstek;Marstek Venus E V3;AC Power;;101;W
2026-04-02 01:13:10;Marstek;Marstek Venus E V3;AC Power;;95;W
2026-04-02 01:14:10;Marstek;Marstek Venus E V3;AC Power;;102;W
2026-04-02 01:15:10;Marstek;Marstek Venus E V3;AC Power;;96;W
2026-04-02 01:16:10;Marstek;Marstek Venus E V3;AC Power;;243;W
2026-04-02 01:17:10;Marstek;Marstek Venus E V3;AC Power;;221;W
2026-04-02 01:18:10;Marstek;Marstek Venus E V3;AC Power;;211;W
2026-04-02 01:19:10;Marstek;Marstek Venus E V3;AC Power;;209;W
2026-04-02 01:20:10;Marstek;Marstek Venus E V3;AC Power;;207;W
2026-04-02 01:22:10;Marstek;Marstek Venus E V3;AC Power;;286;W
2026-04-02 01:23:09;Marstek;Marstek Venus E V3;AC Power;;274;W
2026-04-02 01:24:10;Marstek;Marstek Venus E V3;AC Power;;272;W
2026-04-02 01:25:10;Marstek;Marstek Venus E V3;AC Power;;270;W
2026-04-02 01:27:10;Marstek;Marstek Venus E V3;AC Power;;268;W
2026-04-02 01:28:09;Marstek;Marstek Venus E V3;AC Power;;264;W
2026-04-02 01:29:09;Marstek;Marstek Venus E V3;AC Power;;209;W
2026-04-02 01:31:09;Marstek;Marstek Venus E V3;AC Power;;113;W
2026-04-02 01:32:09;Marstek;Marstek Venus E V3;AC Power;;109;W
2026-04-02 01:33:10;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 01:34:09;Marstek;Marstek Venus E V3;AC Power;;103;W
2026-04-02 01:35:09;Marstek;Marstek Venus E V3;AC Power;;101;W
2026-04-02 01:36:09;Marstek;Marstek Venus E V3;AC Power;;106;W
2026-04-02 01:37:09;Marstek;Marstek Venus E V3;AC Power;;107;W
2026-04-02 01:39:09;Marstek;Marstek Venus E V3;AC Power;;115;W
2026-04-02 01:40:09;Marstek;Marstek Venus E V3;AC Power;;106;W
2026-04-02 01:41:09;Marstek;Marstek Venus E V3;AC Power;;128;W
2026-04-02 01:42:09;Marstek;Marstek Venus E V3;AC Power;;103;W
2026-04-02 01:43:09;Marstek;Marstek Venus E V3;AC Power;;39;W
2026-04-02 01:44:09;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 01:45:09;Marstek;Marstek Venus E V3;AC Power;;36;W
2026-04-02 01:46:09;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 01:47:09;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 01:50:09;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 01:51:09;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 01:53:09;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 01:55:09;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 01:57:09;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 01:58:09;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 01:59:09;Marstek;Marstek Venus E V3;AC Power;;41;W
2026-04-02 02:00:08;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 02:02:09;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 02:04:09;Marstek;Marstek Venus E V3;AC Power;;43;W
2026-04-02 02:06:09;Marstek;Marstek Venus E V3;AC Power;;40;W
2026-04-02 02:07:09;Marstek;Marstek Venus E V3;AC Power;;42;W
2026-04-02 02:08:08;Marstek;Marstek Venus E V3;AC Power;;38;W
